epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9415,1.88962,3.70108,1.3776,0.15991,0.14369,0.10836,0.0712,1.63557,3.60035,1.17886,2.5e-05,2.5e-05,2.5e-05
2,114.105,1.73498,2.85919,1.28137,0.49138,0.21366,0.19136,0.13231,1.47124,2.59204,1.15019,6.12625e-05,6.12625e-05,6.12625e-05
3,170.466,1.59702,1.88482,1.23572,0.60109,0.31277,0.37494,0.25961,1.44856,2.21077,1.15649,9.604e-05,9.604e-05,9.604e-05
4,226.557,1.47364,1.41653,1.1698,0.48914,0.43194,0.43085,0.29072,1.36533,2.47595,1.1204,0.000129332,0.000129332,0.000129332
5,282.699,1.4074,1.23606,1.15346,0.4924,0.58445,0.5559,0.35195,1.30315,1.73342,1.0914,0.00016114,0.00016114,0.00016114
6,338.5,1.3167,1.05151,1.07878,0.6232,0.53443,0.6123,0.37869,1.30256,2.14537,1.08488,0.000191463,0.000191463,0.000191463
7,395.325,1.2873,0.95589,1.06203,0.64,0.56114,0.6263,0.38288,1.34526,2.40844,1.08804,0.0002203,0.0002203,0.0002203
8,450.482,1.30538,0.94957,1.07045,0.69063,0.59548,0.67368,0.42966,1.30213,1.93754,1.06259,0.000247653,0.000247653,0.000247653
9,506.025,1.29759,0.8944,1.04037,0.67686,0.66663,0.74559,0.49268,1.25773,1.66189,1.04334,0.00027352,0.00027352,0.00027352
10,560.738,1.21082,0.80422,1.01696,0.76057,0.63317,0.7592,0.49602,1.27593,1.61247,1.05922,0.000297903,0.000297903,0.000297903
11,616.309,1.2589,0.8217,1.03286,0.79113,0.66156,0.79,0.51975,1.23208,1.20531,1.03549,0.0003208,0.0003208,0.0003208
12,671.238,1.20739,0.77718,1.00154,0.83115,0.69085,0.82084,0.54287,1.21064,1.19737,1.02307,0.000342213,0.000342213,0.000342213
13,726.352,1.1779,0.7385,1.01225,0.81736,0.69643,0.81483,0.54646,1.22638,1.1766,1.02777,0.00036214,0.00036214,0.00036214
14,781.489,1.21674,0.7342,1.01951,0.8483,0.6673,0.80076,0.53928,1.21705,1.21246,1.02947,0.000380582,0.000380582,0.000380582
15,835.456,1.22014,0.75653,1.01772,0.80876,0.72464,0.81767,0.55409,1.18788,0.99216,1.01486,0.00039754,0.00039754,0.00039754
16,889.142,1.17156,0.72347,1.01103,0.8304,0.74784,0.84117,0.55771,1.19073,1.00347,1.01461,0.000413012,0.000413012,0.000413012
17,944.362,1.16791,0.70379,0.9988,0.86939,0.76924,0.8713,0.57716,1.22453,0.78792,1.02748,0.000427,0.000427,0.000427
18,997.851,1.17163,0.69694,1.00915,0.89246,0.8098,0.87555,0.57488,1.21111,0.69035,1.02637,0.000439502,0.000439502,0.000439502
19,1052.29,1.1267,0.71022,0.98698,0.89205,0.8181,0.87522,0.57312,1.19804,0.6843,1.01782,0.00045052,0.00045052,0.00045052
20,1107.27,1.17102,0.68009,1.01228,0.88847,0.81925,0.88604,0.58887,1.17475,0.73335,1.0039,0.000460053,0.000460053,0.000460053
21,1161.87,1.15911,0.6651,0.97374,0.83591,0.85079,0.88922,0.59992,1.17942,0.7697,1.00336,0.0004681,0.0004681,0.0004681
22,1215.29,1.12681,0.66148,0.97733,0.88778,0.82024,0.88684,0.59515,1.1939,0.69768,1.00762,0.000474663,0.000474663,0.000474663
23,1267.49,1.13426,0.65328,0.9997,0.87473,0.83504,0.89184,0.60015,1.17356,0.66455,1.00388,0.00047974,0.00047974,0.00047974
24,1321.16,1.1281,0.67426,0.98445,0.86677,0.85433,0.89724,0.61462,1.14163,0.68043,0.99557,0.000483333,0.000483333,0.000483333
25,1375.68,1.12565,0.62436,0.97507,0.89035,0.84104,0.89914,0.6111,1.14678,0.72455,0.99876,0.00048544,0.00048544,0.00048544
26,1428.55,1.08968,0.64247,0.97305,0.89154,0.84919,0.89672,0.60303,1.16927,0.67602,1.00747,0.000486063,0.000486063,0.000486063
27,1482.18,1.09602,0.62719,0.97676,0.90864,0.84966,0.89852,0.6035,1.17963,0.6105,1.0086,0.0004852,0.0004852,0.0004852
28,1534.87,1.0983,0.62059,0.96619,0.90464,0.85008,0.90285,0.60542,1.19526,0.60672,1.01296,0.000482852,0.000482852,0.000482852
29,1587.71,1.09349,0.60754,0.9723,0.90464,0.85008,0.90285,0.60542,1.19526,0.60672,1.01296,0.00047902,0.00047902,0.00047902
30,1639.58,1.05975,0.58994,0.95873,0.89515,0.85886,0.90311,0.61051,1.18976,0.61803,1.00827,0.000473703,0.000473703,0.000473703
31,1693.6,1.07275,0.59764,0.94851,0.89342,0.87089,0.90429,0.61664,1.16274,0.60525,1.00418,0.0004669,0.0004669,0.0004669
32,1747.19,1.08043,0.61012,0.98638,0.89722,0.87036,0.91039,0.62086,1.15083,0.58147,1.00139,0.000458613,0.000458613,0.000458613
33,1800.67,1.03915,0.57659,0.95546,0.89722,0.87036,0.91039,0.62086,1.15083,0.58147,1.00139,0.00044884,0.00044884,0.00044884
34,1856.26,1.08284,0.60006,0.97477,0.90957,0.87732,0.91675,0.62737,1.14425,0.56721,1.00053,0.00043325,0.00043325,0.00043325
35,1909.79,1.0411,0.57592,0.97101,0.899,0.88188,0.91685,0.61956,1.15742,0.57031,1.0014,0.0004085,0.0004085,0.0004085
36,1964.04,1.0543,0.57877,0.95175,0.89129,0.8758,0.91331,0.61853,1.15395,0.56673,1.00024,0.00038375,0.00038375,0.00038375
37,2017.44,1.06435,0.57987,0.95725,0.89129,0.8758,0.91331,0.61853,1.15395,0.56673,1.00024,0.000359,0.000359,0.000359
38,2070.87,1.02542,0.55356,0.94944,0.91006,0.86533,0.91291,0.62211,1.14756,0.55707,0.99962,0.00033425,0.00033425,0.00033425
39,2124.02,1.04281,0.56685,0.95267,0.90996,0.87373,0.91604,0.62438,1.14122,0.55368,0.99613,0.0003095,0.0003095,0.0003095
40,2178.62,1.06939,0.5689,0.97052,0.89604,0.8964,0.92013,0.63051,1.13304,0.55005,0.99288,0.00028475,0.00028475,0.00028475
41,2229.16,1.076,0.56517,0.97336,0.89604,0.8964,0.92013,0.63051,1.13304,0.55005,0.99288,0.00026,0.00026,0.00026
42,2280.34,1.06169,0.55918,0.96165,0.90115,0.88313,0.91929,0.62778,1.13815,0.55092,0.99496,0.00023525,0.00023525,0.00023525
43,2330.15,1.05741,0.56938,0.95654,0.90746,0.8873,0.91965,0.63332,1.13371,0.54856,0.99645,0.0002105,0.0002105,0.0002105
44,2380.25,1.0512,0.55601,0.97514,0.9078,0.8876,0.92022,0.63151,1.13022,0.54498,0.99636,0.00018575,0.00018575,0.00018575
45,2430.28,1.06739,0.55655,0.96779,0.9078,0.8876,0.92022,0.63151,1.13022,0.54498,0.99636,0.000161,0.000161,0.000161
